DISTRICT,DISTNAME
"014804","ORENDA CHARTER SCHOOL"
"201908","OVERTON ISD"
"051901","PADUCAH ISD"
"104907","PAINT CREEK ISD"
"048903","PAINT ROCK ISD"
"158905","PALACIOS ISD"
"001907","PALESTINE ISD"
"070910","PALMER ISD"
"182906","PALO PINTO ISD"
"090904","PAMPA ISD"
"033902","PANHANDLE ISD"
"183801","PANOLA CHARTER SCHOOL"
"042905","PANTHER CREEK CISD"
"249906","PARADISE ISD"
"139909","PARIS ISD"
"101917","PASADENA ISD"
"071803","PASO DEL NORTE"
"063906","PATTON SPRINGS ISD"
"013902","PAWNEE ISD"
"020908","PEARLAND ISD"
"082903","PEARSALL ISD"
"184908","PEASTER ISD"
"195901","PECOS-BARSTOW-TOYAH ISD"
"057802","PEGASUS SCHOOL OF LIBERAL ARTS AND"
"109914","PENELOPE ISD"
"119903","PERRIN-WHITT CISD"
"179901","PERRYTON ISD"
"095904","PETERSBURG ISD"
"039903","PETROLIA ISD"
"013903","PETTUS ISD"
"172905","PEWITT CISD"
"227904","PFLUGERVILLE ISD"
"108909","PHARR-SAN JUAN-ALAMO ISD"
"116801","PHOENIX CHARTER SCHOOL"
"061903","PILOT POINT ISD"
"092904","PINE TREE ISD"
"003801","PINEYWOODS COMMUNITY ACADEMY"
"032902","PITTSBURG ISD"
"251902","PLAINS ISD"
"095905","PLAINVIEW ISD"
"043910","PLANO ISD"
"019912","PLEASANT GROVE ISD"
"007905","PLEASANTON ISD"
"117904","PLEMONS-STINNETT-PHILLIPS CISD"
"031909","POINT ISABEL ISD"
"061906","PONDER ISD"
"184901","POOLVILLE ISD"
"015801","POR VIDA ACADEMY"
"178908","PORT ARANSAS ISD"
"123907","PORT ARTHUR ISD"
"123908","PORT NECHES-GROVES ISD"
"015814","POSITIVE SOLUTIONS CHARTER SCHOOL"
"085902","POST ISD"
"007906","POTEET ISD"
"247904","POTH ISD"
"091913","POTTSBORO ISD"
"028906","PRAIRIE LEA ISD"
"169909","PRAIRIE VALLEY ISD"
"139912","PRAIRILAND ISD"
"072801","PREMIER HIGH SCHOOLS"
"084805","PREMIER LEARNING ACADEMY"
"125905","PREMONT ISD"
"189902","PRESIDIO ISD"
"167904","PRIDDY ISD"
"043911","PRINCETON ISD"
"098903","PRINGLE-MORSE CISD"
"108910","PROGRESO ISD"
"101853","PROMISE COMMUNITY SCHOOL"
"043912","PROSPER ISD"
"099903","QUANAH ISD"
"034907","QUEEN CITY ISD"
"116908","QUINLAN ISD"
"250904","QUITMAN ISD"
"015815","RADIANCE ACADEMY OF LEARNING"
"190903","RAINS ISD"
"054903","RALLS ISD"
"066005","RAMIREZ CSD"
"234801","RANCH ACADEMY"
"015906","RANDOLPH FIELD ISD"
"067907","RANGER ISD"
"231902","RANKIN ISD"
"161802","RAPOPORT ACADEMY PUBLIC SCHOOL"
"101806","RAUL YZAGUIRRE SCHOOL FOR SUCCESS"
"236801","RAVEN SCHOOL"
"245903","RAYMONDVILLE ISD"
"192901","REAGAN COUNTY ISD"
"057841","RECONCILIATION ACADEMY"
"019911","RED LICK ISD"
"070911","RED OAK ISD"
"019906","REDWATER ISD"
"196903","REFUGIO ISD"
"137902","RICARDO ISD"
"045903","RICE CISD"
"175911","RICE ISD"
"188801","RICHARD MILBURN ACADEMY (AMARILLO)"
"068801","RICHARD MILBURN ACADEMY (ECTOR COU"
"220812","RICHARD MILBURN ACADEMY (FORT WORT"
"101854","RICHARD MILBURN ACADEMY (SUBURBAN"
"014801","RICHARD MILBURN ALTER HIGH SCHOOL"
"178804","RICHARD MILBURN ALTER HIGH SCHOOL"
"093905","RICHARDS ISD"
"057916","RICHARDSON ISD"
"057840","RICHLAND COLLEGIATE HIGH SCHOOL"
"206902","RICHLAND SPRINGS ISD"
"161912","RIESEL ISD"
"214901","RIO GRANDE CITY CISD"
"031911","RIO HONDO ISD"
"126907","RIO VISTA ISD"
"152802","RISE ACADEMY"
"067908","RISING STAR ISD"
"188902","RIVER ROAD ISD"
"194903","RIVERCREST ISD"
"137903","RIVIERA ISD"
"041902","ROBERT LEE ISD"
"161922","ROBINSON ISD"
"178909","ROBSTOWN ISD"
"076903","ROBY CISD"
"160904","ROCHELLE ISD"
"166904","ROCKDALE ISD"
"069901","ROCKSPRINGS ISD"
"199901","ROCKWALL ISD"
"014907","ROGERS ISD"
"214903","ROMA ISD"
"152908","ROOSEVELT ISD"
"110905","ROPES ISD"
"177901","ROSCOE ISD"
"073905","ROSEBUD-LOTT ISD"
"076904","ROTAN ISD"
"246909","ROUND ROCK ISD"
"075908","ROUND TOP-CARMINE ISD"
"139908","ROXTON ISD"
"237905","ROYAL ISD"
"199902","ROYSE CITY ISD"
"104903","RULE ISD"
"128903","RUNGE ISD"
"037907","RUSK ISD"
"091914","S AND S CISD"
"232902","SABINAL ISD"
"092906","SABINE ISD"
"123913","SABINE PASS ISD"
"169911","SAINT JO ISD"
"014908","SALADO ISD"
"112909","SALTILLO ISD"
"074917","SAM RAYBURN ISD"
"044904","SAMNORWOOD ISD"
"226903","SAN ANGELO ISD"
"015817","SAN ANTONIO CAN HIGH SCHOOL"
"015907","SAN ANTONIO ISD"
"015820","SAN ANTONIO SCHOOL FOR INQUIRY & C"
"015823","SAN ANTONIO TECHNOLOGY ACADEMY"
"203901","SAN AUGUSTINE ISD"
"031912","SAN BENITO CISD"
"066902","SAN DIEGO ISD"
"071904","SAN ELIZARIO ISD"
"233901","SAN FELIPE-DEL RIO CISD"
"214902","SAN ISIDRO ISD"
"105902","SAN MARCOS CISD"
"245904","SAN PERLITA ISD"
"206901","SAN SABA ISD"
"022903","SAN VICENTE ISD"
"058909","SANDS CISD"
"117903","SANFORD-FRITCH ISD"
"061908","SANGER ISD"
"042903","SANTA ANNA ISD"
"084909","SANTA FE ISD"
"137904","SANTA GERTRUDIS ISD"
"031913","SANTA MARIA ISD"
"031914","SANTA ROSA ISD"
"182904","SANTO ISD"
"074911","SAVOY ISD"
"094902","SCHERTZ-CIBOLO-U CITY ISD"
"207901","SCHLEICHER ISD"
"015806","SCHOOL OF EXCELLENCE IN EDUCATION"
"015827","SCHOOL OF SCIENCE AND TECHNOLOGY"
"178809","SCHOOL OF SCIENCE AND TECHNOLOGY C"
"015831","SCHOOL OF SCIENCE AND TECHNOLOGY D"
"075903","SCHULENBURG ISD"
"129910","SCURRY-ROSSER ISD"
"083901","SEAGRAVES ISD"
"008902","SEALY ISD"
"178808","SEASHORE CHARTER SCHOOLS"
"094901","SEGUIN ISD"
"083903","SEMINOLE ISD"
"101802","SER-NINOS CHARTER SCHOOL"
"012901","SEYMOUR ISD"
"152909","SHALLOWATER ISD"
"242902","SHAMROCK ISD"
"108911","SHARYLAND ISD"
"015819","SHEKINAH RADIANCE ACADEMY"
"210903","SHELBYVILLE ISD"
"101924","SHELDON ISD"
"204904","SHEPHERD ISD"
"091906","SHERMAN ISD"
"143903","SHINER ISD"
"047905","SIDNEY ISD"
"115902","SIERRA BLANCA ISD"
"100904","SILSBEE ISD"
"023902","SILVERTON ISD"
"019909","SIMMS ISD"
"205906","SINTON ISD"
"049909","SIVELLS BEND ISD"
"013905","SKIDMORE-TYNAN ISD"
"152903","SLATON ISD"
"249908","SLIDELL ISD"
"001909","SLOCUM ISD"
"011904","SMITHVILLE ISD"
"110906","SMYER ISD"
"026903","SNOOK ISD"
"208902","SNYDER ISD"
"071909","SOCORRO ISD"
"015909","SOMERSET ISD"
"026902","SOMERVILLE ISD"
"218901","SONORA ISD"
"152803","SOUTH PLAINS"
"015908","SOUTH SAN ANTONIO ISD"
"108802","SOUTH TEXAS EDUCATIONAL TECHNOLOGI"
"031916","SOUTH TEXAS ISD"
"085903","SOUTHLAND ISD"
"015917","SOUTHSIDE ISD"
"015912","SOUTHWEST ISD"
"015807","SOUTHWEST PREPARATORY SCHOOL"
"101838","SOUTHWEST SCHOOL"
"098904","SPEARMAN ISD"
"170907","SPLENDORA ISD"
"101920","SPRING BRANCH ISD"
"117907","SPRING CREEK ISD"
"092907","SPRING HILL ISD"
"101919","SPRING ISD"
"140907","SPRINGLAKE-EARTH ISD"
"184902","SPRINGTOWN ISD"
"063903","SPUR ISD"
"229905","SPURGER ISD"
"057836","ST ANTHONY SCHOOL"
"013801","ST MARY'S ACADEMY CHARTER SCHOOL"
"079910","STAFFORD MSD"
"127906","STAMFORD ISD"
"156902","STANTON ISD"
"167903","STAR ISD"
"174801","STEPHEN F AUSTIN STATE UNIVERSITY"
"072903","STEPHENVILLE"
"101859","STEPPING STONES CHARTER EL"
"216901","STERLING CITY ISD"
"247906","STOCKDALE ISD"
"211902","STRATFORD ISD"
"182905","STRAWN ISD"
"140908","SUDAN ISD"
"112910","SULPHUR BLUFF ISD"
"112901","SULPHUR SPRINGS ISD"
"110907","SUNDOWN ISD"
"057919","SUNNYVALE ISD"
"171902","SUNRAY ISD"
"020906","SWEENY ISD"
"143905","SWEET HOME ISD"
"177902","SWEETWATER ISD"
"205907","TAFT ISD"
"153904","TAHOKA ISD"
"146907","TARKINGTON ISD"
"201910","TATUM ISD"
"246911","TAYLOR ISD"
"081904","TEAGUE ISD"
"123803","TEKOA ACADEMY OF ACCELERATED STUDI"
"014803","TEMPLE EDUCATION CENTER"
"014909","TEMPLE ISD"
"210904","TENAHA ISD"
"022004","TERLINGUA CSD"
"222901","TERRELL COUNTY ISD"
"129906","TERRELL ISD"
"019907","TEXARKANA ISD"
"084906","TEXAS CITY ISD"
"221801","TEXAS COLLEGE PREPARATORY ACADEMIE"
"061802","TEXAS EDUCATION CENTERS"
"220814","TEXAS ELEMENTARY SCHOOL OF THE ART"
"227805","TEXAS EMPOWERMENT ACADEMY"
"226801","TEXAS LEADERSHIP"
"105802","TEXAS PREPARATORY SCHOOL"
"170801","TEXAS SERENITY ACADEMY"
"211901","TEXHOMA ISD"
"056902","TEXLINE ISD"
"227824","THE EAST AUSTIN COLLEGE PREP ACADE"
"061803","THE LEGENDS ACADEMY"
"101861","THE RHODES SCHOOL"
"101814","THE VARNETT PUBLIC SCHOOL"
"166905","THORNDALE ISD"
"246912","THRALL ISD"
"149902","THREE RIVERS ISD"
"072901","THREE WAY ISD"
"224901","THROCKMORTON ISD"
"158902","TIDEHAVEN ISD"
"210905","TIMPSON ISD"
"091907","TIOGA ISD"
"111903","TOLAR ISD"
"091918","TOM BEAN ISD"
"101921","TOMBALL ISD"
"071908","TORNILLO ISD"
"014802","TRANSFORMATIVE CHARTER ACADEMY"
"220801","TREETOPS SCHOOL INTERNATIONAL"
"221905","TRENT ISD"
"074912","TRENTON ISD"
"107907","TRINIDAD ISD"
"057813","TRINITY BASIN PREPARATORY"
"046802","TRINITY CHARTER SCHOOL"
"228903","TRINITY ISD"
"212904","TROUP ISD"
"014910","TROY ISD"
"219903","TULIA ISD"
"178912","TULOSO-MIDWAY ISD"
"096905","TURKEY-QUITAQUE ISD"
"101840","TWO DIMENSIONS PREPARATORY ACADEMY"
"212905","TYLER ISD"
"230908","UNION GROVE ISD"
"230904","UNION HILL ISD"
"240903","UNITED ISD"
"057808","UNIVERSAL ACADEMY"
"101807","UNIVERSITY OF HOUSTON CHARTER SCHO"
"227819","UNIVERSITY OF TEXAS ELEMENTARY CHA"
"227806","UNIVERSITY OF TEXAS UNIVERSITY CHA"
"057843","UPLIFT EDUCATION - HAMPTON PREPARA"
"057803","UPLIFT EDUCATION - NORTH HILLS PRE"
"057838","UPLIFT EDUCATION - PEAK PREPARATOR"
"057842","UPLIFT EDUCATION - WILLIAMS PREPAR"
"220816","UPLIFT EDUCATION-SUMMIT INTERNATIO"
"232904","UTOPIA ISD"
"232903","UVALDE CISD"
"122902","VALENTINE ISD"
"018904","VALLEY MILLS ISD"
"049903","VALLEY VIEW ISD"
"108916","VALLEY VIEW ISD"
"091908","VAN ALSTYNE ISD"
"234906","VAN ISD"
"158906","VAN VLECK ISD"
"108808","VANGUARD ACADEMY"
"180902","VEGA ISD"
"126908","VENUS ISD"
"226908","VERIBEST ISD"
"244903","VERNON ISD"
"235902","VICTORIA ISD"
"101865","VICTORY PREP"
"181907","VIDOR ISD"
"071809","VISTA DEL FUTURO CHARTER SCHOOL"
"143904","VYSEHRAD ISD"
"161801","WACO CHARTER SCHOOL"
"161914","WACO ISD"
"089905","WAELDER ISD"
"059902","WALCOTT ISD"
"101864","WALIPP-TSU PREPARATORY ACADEMY"
"226906","WALL ISD"
"237904","WALLER ISD"
"049908","WALNUT BEND ISD"
"018905","WALNUT SPRINGS ISD"
"229904","WARREN ISD"
"102903","WASKOM ISD"
"226905","WATER VALLEY ISD"
"070801","WAXAHACHIE FAITH FAMILY ACADEMY"
"070912","WAXAHACHIE ISD"
"184903","WEATHERFORD ISD"
"240904","WEBB CISD"
"045905","WEIMAR ISD"
"044902","WELLINGTON ISD"
"223904","WELLMAN-UNION CISD"
"037909","WELLS ISD"
"108913","WESLACO ISD"
"100908","WEST HARDIN COUNTY CISD"
"161916","WEST ISD"
"181906","WEST ORANGE-COVE CISD"
"178915","WEST OSO ISD"
"201914","WEST RUSK ISD"
"202905","WEST SABINE ISD"
"168903","WESTBROOK ISD"
"062905","WESTHOFF ISD"
"220810","WESTLAKE ACADEMY CHARTER SCHOOL"
"073904","WESTPHALIA ISD"
"001908","WESTWOOD ISD"
"241904","WHARTON ISD"
"242903","WHEELER ISD"
"033904","WHITE DEER ISD"
"092908","WHITE OAK ISD"
"220920","WHITE SETTLEMENT ISD"
"040902","WHITEFACE CISD"
"212906","WHITEHOUSE ISD"
"091909","WHITESBORO ISD"
"091910","WHITEWRIGHT ISD"
"110908","WHITHARRAL ISD"
"109911","WHITNEY ISD"
"243905","WICHITA FALLS ISD"
"180904","WILDORADO ISD"
"170904","WILLIS ISD"
"234907","WILLS POINT ISD"
"153907","WILSON ISD"
"105905","WIMBERLEY ISD"
"005904","WINDTHORST ISD"
"225905","WINFIELD ISD"
"057828","WINFREE ACADEMY CHARTER SCHOOLS"
"248902","WINK-LOVING ISD"
"250907","WINNSBORO ISD"
"212910","WINONA ISD"
"200904","WINTERS ISD"
"174906","WODEN ISD"
"116909","WOLFE CITY ISD"
"196902","WOODSBORO ISD"
"224902","WOODSON ISD"
"229903","WOODVILLE ISD"
"081905","WORTHAM ISD"
"043914","WYLIE ISD"
"221912","WYLIE ISD"
"250905","YANTIS ISD"
"101845","YES PREP PUBLIC SCHOOLS INC"
"062903","YOAKUM ISD"
"062904","YORKTOWN ISD"
"071905","YSLETA ISD"
"253901","ZAPATA COUNTY ISD"
"003906","ZAVALLA ISD"
"025906","ZEPHYR ISD"
"101850","ZOE LEARNING ACADEMY"
