CAMPUS,CAMPNAME,CFLALTED,CFLCHART,CNTYNAME,COUNTY,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION,REGNNAME
"024901101","FALFURRIAS EL","N","N","BROOKS","024","BROOKS COUNTY ISD","024901","02 - 05","E"," "," ","02","REGION 02: CORPUS CHRISTI"
"024901103","LASATER EL","N","N","BROOKS","024","BROOKS COUNTY ISD","024901","EE - 01","E","024901101","FALFURRIAS EL","02","REGION 02: CORPUS CHRISTI"
"025901001","BANGS H S","N","N","BROWN","025","BANGS ISD","025901","09 - 12","S"," "," ","15","REGION 15: SAN ANGELO"
"025901041","BANGS MIDDLE","N","N","BROWN","025","BANGS ISD","025901","05 - 08","M"," "," ","15","REGION 15: SAN ANGELO"
"025901101","J B STEPHENS EL","N","N","BROWN","025","BANGS ISD","025901","EE - 04","E"," "," ","15","REGION 15: SAN ANGELO"
"025902001","BROWNWOOD H S","N","N","BROWN","025","BROWNWOOD ISD","025902","09 - 12","S"," "," ","15","REGION 15: SAN ANGELO"
"025902003","BROWNWOOD ACCELERATED H S","Y","N","BROWN","025","BROWNWOOD ISD","025902","11 - 12","S"," "," ","15","REGION 15: SAN ANGELO"
"025902041","BROWNWOOD MIDDLE","N","N","BROWN","025","BROWNWOOD ISD","025902","07 - 08","M"," "," ","15","REGION 15: SAN ANGELO"
"025902101","COGGIN EL","N","N","BROWN","025","BROWNWOOD ISD","025902","04 - 04","E"," "," ","15","REGION 15: SAN ANGELO"
"025902106","NORTHWEST EL","N","N","BROWN","025","BROWNWOOD ISD","025902","EE - 03","E"," "," ","15","REGION 15: SAN ANGELO"
"025902107","WOODLAND HEIGHTS EL","N","N","BROWN","025","BROWNWOOD ISD","025902","PK - 03","E"," "," ","15","REGION 15: SAN ANGELO"
"025902108","BROWNWOOD INT","N","N","BROWN","025","BROWNWOOD ISD","025902","05 - 06","M"," "," ","15","REGION 15: SAN ANGELO"
"025902109","EAST EL","N","N","BROWN","025","BROWNWOOD ISD","025902","PK - 03","E"," "," ","15","REGION 15: SAN ANGELO"
"025904001","BLANKET SCHOOL","N","N","BROWN","025","BLANKET ISD","025904","EE - 12","B"," "," ","15","REGION 15: SAN ANGELO"
"025905001","MAY H S","N","N","BROWN","025","MAY ISD","025905","07 - 12","S"," "," ","15","REGION 15: SAN ANGELO"
"025905101","MAY EL","N","N","BROWN","025","MAY ISD","025905","PK - 06","E"," "," ","15","REGION 15: SAN ANGELO"
"025906001","ZEPHYR SCHOOL","N","N","BROWN","025","ZEPHYR ISD","025906","EE - 12","B"," "," ","15","REGION 15: SAN ANGELO"
"025908001","BROOKESMITH SCHOOL","N","N","BROWN","025","BROOKESMITH ISD","025908","PK - 12","B"," "," ","15","REGION 15: SAN ANGELO"
"025909001","EARLY H S","N","N","BROWN","025","EARLY ISD","025909","09 - 12","S"," "," ","15","REGION 15: SAN ANGELO"
"025909041","EARLY MIDDLE","N","N","BROWN","025","EARLY ISD","025909","06 - 08","M"," "," ","15","REGION 15: SAN ANGELO"
"025909101","EARLY EL","N","N","BROWN","025","EARLY ISD","025909","03 - 05","E"," "," ","15","REGION 15: SAN ANGELO"
"025909102","EARLY PRI","N","N","BROWN","025","EARLY ISD","025909","EE - 02","E","025909101","EARLY EL","15","REGION 15: SAN ANGELO"
"026901001","CALDWELL H S","N","N","BURLESON","026","CALDWELL ISD","026901","09 - 12","S"," "," ","06","REGION 06: HUNTSVILLE"
"026901041","CALDWELL MIDDLE","N","N","BURLESON","026","CALDWELL ISD","026901","06 - 08","M"," "," ","06","REGION 06: HUNTSVILLE"
"026901042","CALDWELL INT","N","N","BURLESON","026","CALDWELL ISD","026901","03 - 05","E"," "," ","06","REGION 06: HUNTSVILLE"
"026901101","CALDWELL EL","N","N","BURLESON","026","CALDWELL ISD","026901","EE - 02","E","026901042","CALDWELL INT","06","REGION 06: HUNTSVILLE"
"026902001","SOMERVILLE H S","N","N","BURLESON","026","SOMERVILLE ISD","026902","07 - 12","S"," "," ","06","REGION 06: HUNTSVILLE"
"026902101","SOMERVILLE EL","N","N","BURLESON","026","SOMERVILLE ISD","026902","PK - 06","E"," "," ","06","REGION 06: HUNTSVILLE"
"026903002","SNOOK SECONDARY","N","N","BURLESON","026","SNOOK ISD","026903","06 - 12","B"," "," ","06","REGION 06: HUNTSVILLE"
"026903101","SNOOK EL","N","N","BURLESON","026","SNOOK ISD","026903","PK - 05","E"," "," ","06","REGION 06: HUNTSVILLE"
"027903001","BURNET H S","N","N","BURNET","027","BURNET CISD","027903","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"027903003","QUEST","Y","N","BURNET","027","BURNET CISD","027903","10 - 12","S"," "," ","13","REGION 13: AUSTIN"
"027903041","BURNET MIDDLE","N","N","BURNET","027","BURNET CISD","027903","06 - 08","M"," "," ","13","REGION 13: AUSTIN"
"027903101","BURNET EL","N","N","BURNET","027","BURNET CISD","027903","EE - 02","E","027903104","RJ RICHEY EL","13","REGION 13: AUSTIN"
"027903102","BERTRAM EL","N","N","BURNET","027","BURNET CISD","027903","PK - 05","E"," "," ","13","REGION 13: AUSTIN"
"027903104","RJ RICHEY EL","N","N","BURNET","027","BURNET CISD","027903","03 - 05","E"," "," ","13","REGION 13: AUSTIN"
"027904001","MARBLE FALLS H S","N","N","BURNET","027","MARBLE FALLS ISD","027904","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"027904002","FALLS CAREER H S","Y","N","BURNET","027","MARBLE FALLS ISD","027904","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"027904041","MARBLE FALLS MIDDLE","N","N","BURNET","027","MARBLE FALLS ISD","027904","06 - 08","M"," "," ","13","REGION 13: AUSTIN"
"027904101","MARBLE FALLS EL","N","N","BURNET","027","MARBLE FALLS ISD","027904","PK - 05","E"," "," ","13","REGION 13: AUSTIN"
"027904102","COLT EL","N","N","BURNET","027","MARBLE FALLS ISD","027904","EE - 05","E"," "," ","13","REGION 13: AUSTIN"
"027904103","HIGHLAND LAKES EL","N","N","BURNET","027","MARBLE FALLS ISD","027904","PK - 05","E"," "," ","13","REGION 13: AUSTIN"
"027904104","SPICEWOOD EL","N","N","BURNET","027","MARBLE FALLS ISD","027904","PK - 05","E"," "," ","13","REGION 13: AUSTIN"
"028902001","LOCKHART H S","N","N","CALDWELL","028","LOCKHART ISD","028902","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"028902004","LOCKHART H S FRESHMAN M L CISNEROS","N","N","CALDWELL","028","LOCKHART ISD","028902","09 - 09","S"," "," ","13","REGION 13: AUSTIN"
"028902038","LOCKHART PRIDE HS","Y","N","CALDWELL","028","LOCKHART ISD","028902","10 - 12","S"," "," ","13","REGION 13: AUSTIN"
"028902045","LOCKHART J H","N","N","CALDWELL","028","LOCKHART ISD","028902","06 - 08","M"," "," ","13","REGION 13: AUSTIN"
"028902101","CLEAR FORK EL","N","N","CALDWELL","028","LOCKHART ISD","028902","01 - 05","E"," "," ","13","REGION 13: AUSTIN"
"028902102","CARVER KINDERGARTEN SCHOOL","N","N","CALDWELL","028","LOCKHART ISD","028902","EE - KG","E","028902000","LOCKHART ISD","13","REGION 13: AUSTIN"
"028902103","NAVARRO EL","N","N","CALDWELL","028","LOCKHART ISD","028902","01 - 05","E"," "," ","13","REGION 13: AUSTIN"
"028902104","PLUM CREEK EL","N","N","CALDWELL","028","LOCKHART ISD","028902","01 - 05","E"," "," ","13","REGION 13: AUSTIN"
"028902105","BLUEBONNET EL","N","N","CALDWELL","028","LOCKHART ISD","028902","PK - 05","E"," "," ","13","REGION 13: AUSTIN"
"028903001","LULING H S","N","N","CALDWELL","028","LULING ISD","028903","09 - 12","S"," "," ","13","REGION 13: AUSTIN"
"028903041","GILBERT GERDES J H","N","N","CALDWELL","028","LULING ISD","028903","06 - 08","M"," "," ","13","REGION 13: AUSTIN"
"028903101","LULING EL","N","N","CALDWELL","028","LULING ISD","028903","02 - 05","E"," "," ","13","REGION 13: AUSTIN"
"028903104","LULING PRI","N","N","CALDWELL","028","LULING ISD","028903","PK - 01","E","028903101","LULING EL","13","REGION 13: AUSTIN"
"028906001","PRAIRIE LEA SCHOOL","N","N","CALDWELL","028","PRAIRIE LEA ISD","028906","PK - 12","B"," "," ","13","REGION 13: AUSTIN"
"029901001","CALHOUN H S","N","N","CALHOUN","029","CALHOUN COUNTY ISD","029901","09 - 12","S"," "," ","03","REGION 03: VICTORIA"
"029901003","HOPE H S","Y","N","CALHOUN","029","CALHOUN COUNTY ISD","029901","09 - 12","S"," "," ","03","REGION 03: VICTORIA"
"029901043","TRAVIS MIDDLE","N","N","CALHOUN","029","CALHOUN COUNTY ISD","029901","06 - 08","M"," "," ","03","REGION 03: VICTORIA"
"029901101","HARRISON/JEFFERSON/MADISON COMPLEX","N","N","CALHOUN","029","CALHOUN COUNTY ISD","029901","EE - 05","E"," "," ","03","REGION 03: VICTORIA"
"029901102","JACKSON/ROOSEVELT COMPLEX","N","N","CALHOUN","029","CALHOUN COUNTY ISD","029901","PK - 05","E"," "," ","03","REGION 03: VICTORIA"
"029901105","PORT O CONNOR EL","N","N","CALHOUN","029","CALHOUN COUNTY ISD","029901","PK - 05","E"," "," ","03","REGION 03: VICTORIA"
"029901107","SEADRIFT SCHOOL","N","N","CALHOUN","029","CALHOUN COUNTY ISD","029901","PK - 08","E"," "," ","03","REGION 03: VICTORIA"
"030901001","CROSS PLAINS H S","N","N","CALLAHAN","030","CROSS PLAINS ISD","030901","07 - 12","S"," "," ","14","REGION 14: ABILENE"
"030901101","CROSS PLAINS EL","N","N","CALLAHAN","030","CROSS PLAINS ISD","030901","PK - 06","E"," "," ","14","REGION 14: ABILENE"
"030902001","CLYDE H S","N","N","CALLAHAN","030","CLYDE CISD","030902","09 - 12","S"," "," ","14","REGION 14: ABILENE"
"030902041","CLYDE J H","N","N","CALLAHAN","030","CLYDE CISD","030902","06 - 08","M"," "," ","14","REGION 14: ABILENE"
"030902101","CLYDE EL","N","N","CALLAHAN","030","CLYDE CISD","030902","EE - 02","E","030902103","CLYDE INT","14","REGION 14: ABILENE"
"030902103","CLYDE INT","N","N","CALLAHAN","030","CLYDE CISD","030902","03 - 05","E"," "," ","14","REGION 14: ABILENE"
"030903001","BAIRD H S","N","N","CALLAHAN","030","BAIRD ISD","030903","09 - 12","S"," "," ","14","REGION 14: ABILENE"
"030903041","BAIRD MIDDLE","N","N","CALLAHAN","030","BAIRD ISD","030903","06 - 08","M"," "," ","14","REGION 14: ABILENE"
"030903101","BAIRD EL","N","N","CALLAHAN","030","BAIRD ISD","030903","EE - 05","E"," "," ","14","REGION 14: ABILENE"
"030906001","EULA H S","N","N","CALLAHAN","030","EULA ISD","030906","09 - 12","S"," "," ","14","REGION 14: ABILENE"
"030906041","EULA J H","N","N","CALLAHAN","030","EULA ISD","030906","07 - 08","M"," "," ","14","REGION 14: ABILENE"
"030906101","EULA EL","N","N","CALLAHAN","030","EULA ISD","030906","PK - 06","E"," "," ","14","REGION 14: ABILENE"
"031901001","HANNA EARLY COLLEGE H S","N","N","CAMERON","031","BROWNSVILLE ISD","031901","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031901002","PORTER EARLY COLLEGE H S","N","N","CAMERON","031","BROWNSVILLE ISD","031901","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031901003","PACE EARLY COLLEGE H S","N","N","CAMERON","031","BROWNSVILLE ISD","031901","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031901004","RIVERA EARLY COLLEGE H S","N","N","CAMERON","031","BROWNSVILLE ISD","031901","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031901006","BROWNSVILLE LEARNING ACAD","Y","N","CAMERON","031","BROWNSVILLE ISD","031901","07 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031901007","LOPEZ EARLY COLLEGE H S","N","N","CAMERON","031","BROWNSVILLE ISD","031901","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031901008","BROWNSVILLE EARLY COLLEGE H S","N","N","CAMERON","031","BROWNSVILLE ISD","031901","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031901009","VETERANS MEMORIAL EARLY COLLEGE H","N","N","CAMERON","031","BROWNSVILLE ISD","031901","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031901034","CAMERON CO J J A E P","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 12","B"," "," ","01","REGION 01: EDINBURG"
"031901042","CUMMINGS MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901043","FAULK MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901044","STELL MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901045","OLIVEIRA MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901046","PERKINS MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901047","VELA MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901048","BESTEIRO MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901051","LUCIO MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901053","GARCIA MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901054","STILLMAN MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901055","MANZANO MIDDLE","N","N","CAMERON","031","BROWNSVILLE ISD","031901","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031901101","CANALES EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901102","CROMACK EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901103","LONGORIA EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901104","MARTIN EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901105","EL JARDIN EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901106","GARDEN PARK EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901108","PUTEGNAT EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901109","RESACA EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901110","RUSSELL EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901111","SHARP EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901112","SKINNER EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901113","VICTORIA HEIGHTS EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901115","CASTANEDA EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901117","VILLA NUEVA EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901120","DEL CASTILLO EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901121","PEREZ EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901122","PALM GROVE EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901123","EGLY EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901124","GARZA EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901126","VERMILLION ROAD EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901127","LINCOLN PARK SCH","Y","N","CAMERON","031","BROWNSVILLE ISD","031901","07 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031901128","BURNS EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901129","MORNINGSIDE EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901130","GONZALEZ EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901131","SOUTHMOST EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901132","YTURRIA EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901133","AIKEN EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901134","HUDSON EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901135","BENAVIDES EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901136","CHAMPION EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901137","PAREDES EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901138","GALLEGOS EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901139","ORTIZ EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901140","BRITE EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901141","PENA EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901142","PULLAM EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901143","KELLER EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031901144","BREEDEN EL","N","N","CAMERON","031","BROWNSVILLE ISD","031901","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903001","HARLINGEN H S","N","N","CAMERON","031","HARLINGEN CISD","031903","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031903002","HARLINGEN H S - SOUTH","N","N","CAMERON","031","HARLINGEN CISD","031903","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031903003","KEYS ACAD","Y","N","CAMERON","031","HARLINGEN CISD","031903","08 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031903004","CAMERON CO J J A E P","N","N","CAMERON","031","HARLINGEN CISD","031903","07 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031903005","EARLY COLLEGE H S","N","N","CAMERON","031","HARLINGEN CISD","031903","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031903006","SOUTHWEST KEY","Y","N","CAMERON","031","HARLINGEN CISD","031903","07 - 09","M"," "," ","01","REGION 01: EDINBURG"
"031903007","DR ABRAHAM P CANO FRESHMAN ACADEMY","N","N","CAMERON","031","HARLINGEN CISD","031903","09 - 09","S"," "," ","01","REGION 01: EDINBURG"
"031903008","HARLINGEN SCHOOL OF HEALTH PROFESS","N","N","CAMERON","031","HARLINGEN CISD","031903","08 - 10","S"," "," ","01","REGION 01: EDINBURG"
"031903041","COAKLEY MIDDLE","N","N","CAMERON","031","HARLINGEN CISD","031903","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031903042","MEMORIAL MIDDLE","N","N","CAMERON","031","HARLINGEN CISD","031903","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031903043","VERNON MIDDLE","N","N","CAMERON","031","HARLINGEN CISD","031903","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031903044","GUTIERREZ MIDDLE","N","N","CAMERON","031","HARLINGEN CISD","031903","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031903045","MOISES VELA MIDDLE","N","N","CAMERON","031","HARLINGEN CISD","031903","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031903102","AUSTIN EL","N","N","CAMERON","031","HARLINGEN CISD","031903","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903103","BONHAM EL","N","N","CAMERON","031","HARLINGEN CISD","031903","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903104","BOWIE EL","N","N","CAMERON","031","HARLINGEN CISD","031903","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903105","CROCKETT EL","N","N","CAMERON","031","HARLINGEN CISD","031903","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903106","DISHMAN EL","N","N","CAMERON","031","HARLINGEN CISD","031903","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903107","HOUSTON EL","N","N","CAMERON","031","HARLINGEN CISD","031903","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903108","JEFFERSON EL","N","N","CAMERON","031","HARLINGEN CISD","031903","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903109","LAMAR EL","N","N","CAMERON","031","HARLINGEN CISD","031903","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903110","BEN MILAM EL","N","N","CAMERON","031","HARLINGEN CISD","031903","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903111","STUART PLACE EL","N","N","CAMERON","031","HARLINGEN CISD","031903","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903112","TRAVIS EL","N","N","CAMERON","031","HARLINGEN CISD","031903","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903114","ZAVALA EL","N","N","CAMERON","031","HARLINGEN CISD","031903","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903116","WILSON EL","N","N","CAMERON","031","HARLINGEN CISD","031903","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903117","TREASURE HILLS EL","N","N","CAMERON","031","HARLINGEN CISD","031903","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903118","SECONDARY ALTER CTR","N","N","CAMERON","031","HARLINGEN CISD","031903","06 - 12","B"," "," ","01","REGION 01: EDINBURG"
"031903120","LONG EL","N","N","CAMERON","031","HARLINGEN CISD","031903","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903122","DR HESIQUIO RODRIGUEZ EL","N","N","CAMERON","031","HARLINGEN CISD","031903","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903123","LEE H MEANS EL","N","N","CAMERON","031","HARLINGEN CISD","031903","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031903204","EDNA TAMAYO HOUSE","Y","N","CAMERON","031","HARLINGEN CISD","031903","08 - 10","S"," "," ","01","REGION 01: EDINBURG"
"031905001","LA FERIA H S","N","N","CAMERON","031","LA FERIA ISD","031905","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031905002","LA FERIA ACADEMY","Y","N","CAMERON","031","LA FERIA ISD","031905","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031905041","W B GREEN J H","N","N","CAMERON","031","LA FERIA ISD","031905","07 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031905101","SAM HOUSTON EL","N","N","CAMERON","031","LA FERIA ISD","031905","PK - 04","E"," "," ","01","REGION 01: EDINBURG"
"031905103","C E VAIL EL","N","N","CAMERON","031","LA FERIA ISD","031905","PK - 04","E"," "," ","01","REGION 01: EDINBURG"
"031905105","NOEMI DOMINGUEZ EL","N","N","CAMERON","031","LA FERIA ISD","031905","05 - 06","M"," "," ","01","REGION 01: EDINBURG"
"031905106","DAVID G SANCHEZ EL","N","N","CAMERON","031","LA FERIA ISD","031905","PK - 04","E"," "," ","01","REGION 01: EDINBURG"
"031906001","LOS FRESNOS H S","N","N","CAMERON","031","LOS FRESNOS CISD","031906","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031906002","LOS FRESNOS UNITED","N","N","CAMERON","031","LOS FRESNOS CISD","031906","09 - 09","S"," "," ","01","REGION 01: EDINBURG"
"031906003","AMI KIDS RIO GRANDE VALLEY (FKA RG","Y","N","CAMERON","031","LOS FRESNOS CISD","031906","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031906005","CAMERON CO J J A E P","N","N","CAMERON","031","LOS FRESNOS CISD","031906","10 - 11","S"," "," ","01","REGION 01: EDINBURG"
"031906041","LOS CUATES MIDDLE","N","N","CAMERON","031","LOS FRESNOS CISD","031906","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031906042","LIBERTY MEMORIAL MIDDLE","N","N","CAMERON","031","LOS FRESNOS CISD","031906","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031906101","LOS FRESNOS EL","N","N","CAMERON","031","LOS FRESNOS CISD","031906","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031906102","VILLAREAL EL","N","N","CAMERON","031","LOS FRESNOS CISD","031906","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031906103","LAS YESCAS EL","N","N","CAMERON","031","LOS FRESNOS CISD","031906","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031906104","LOPEZ-RIGGINS EL","N","N","CAMERON","031","LOS FRESNOS CISD","031906","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031906105","RESACA MIDDLE","N","N","CAMERON","031","LOS FRESNOS CISD","031906","06 - 08","M"," "," ","01","REGION 01: EDINBURG"
"031906106","PALMER-LAAKSO EL","N","N","CAMERON","031","LOS FRESNOS CISD","031906","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031906107","LAURELES EL","N","N","CAMERON","031","LOS FRESNOS CISD","031906","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031906108","OLMITO EL","N","N","CAMERON","031","LOS FRESNOS CISD","031906","EE - 05","E"," "," ","01","REGION 01: EDINBURG"
"031906109","RANCHO VERDE EL","N","N","CAMERON","031","LOS FRESNOS CISD","031906","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031906110","DORA ROMERO EL","N","N","CAMERON","031","LOS FRESNOS CISD","031906","PK - 05","E"," "," ","01","REGION 01: EDINBURG"
"031909001","PORT ISABEL H S","N","N","CAMERON","031","POINT ISABEL ISD","031909","09 - 12","S"," "," ","01","REGION 01: EDINBURG"
"031909003","CAMERON CO J J A E P","N","N","CAMERON","031","POINT ISABEL ISD","031909","12 - 12","S"," "," ","01","REGION 01: EDINBURG"
