DISTNAME,CAMPNAME,CAMPUS,CLASS
DALLAS ISD,DAVID W CARTER H S,57905023,Secondary
DALLAS ISD,DEALEY MONTESSORI ACAD,57905134,Elementary
DALLAS ISD,DISTRICT-WIDE SCH,57905298,Elementary
DALLAS ISD,E B COMSTOCK MIDDLE,57905045,Middle
DALLAS ISD,E H CARY MIDDLE,57905044,Middle
DALLAS ISD,EDISON ENVIRO SCIENCE ACAD,57905071,Middle
DALLAS ISD,EDISON LEARNING CTR,57905074,Middle
DALLAS ISD,EDNA ROWE EL,57905232,Elementary
DALLAS ISD,EDUC & SOCIAL SERV MAGNET,57905037,Secondary
DALLAS ISD,EDWARD TITCHE EL,57905216,Elementary
DALLAS ISD,EDWIN J KIEST EL,57905166,Elementary
DALLAS ISD,ELADIO R MARTINEZ EL,57905265,Elementary
DALLAS ISD,ELISHA M PEASE EL,57905191,Elementary
DALLAS ISD,ERASMO SEGUIN EL,57905249,Elementary
DALLAS ISD,EVERETT L DEGOLYER EL,57905135,Elementary
DALLAS ISD,F P CAILLET EL,57905120,Elementary
DALLAS ISD,FANNIE C HARRIS EL,57905151,Elementary
DALLAS ISD,FRED F FLORENCE MIDDLE,57905046,Middle
DALLAS ISD,FREDERICK DOUGLASS EL,57905266,Elementary
DALLAS ISD,GABE P ALLEN EL,57905103,Elementary
DALLAS ISD,GEORGE PEABODY EL,57905190,Elementary
DALLAS ISD,GEORGE W CARVER EL,57905124,Elementary
DALLAS ISD,GEORGE W TRUETT EL,57905218,Elementary
DALLAS ISD,H GRADY SPRUCE H S,57905017,Secondary
DALLAS ISD,H S FOR HEALTH PROFESSIONS,57905036,Secondary
DALLAS ISD,H S THOMPSON EL,57905214,Elementary
DALLAS ISD,HARRELL BUDD EL,57905115,Elementary
DALLAS ISD,HARRY C WITHERS EL,57905230,Elementary
DALLAS ISD,HARRY STONE MONTESSORI,57905212,Elementary
DALLAS ISD,HEALTH SPECIAL,57905030,Secondary
DALLAS ISD,HENRY W LONGFELLOW ACAD,57905073,Middle
DALLAS ISD,HERBERT MARCUS EL,57905182,Elementary
DALLAS ISD,HILLCREST H S,57905006,Secondary
DALLAS ISD,IGNACIO ZARAGOSA EL,57905131,Elementary
DALLAS ISD,J L LONG MIDDLE,57905053,Middle
DALLAS ISD,J LESLIE PATTON INT,57905256,Elementary
DALLAS ISD,J N ERVIN EL,57905142,Elementary
DALLAS ISD,J P STARKS EL,57905263,Elementary
DALLAS ISD,J Q ADAMS EL,57905101,Elementary
DALLAS ISD,J W RAY EL,57905196,Elementary
DALLAS ISD,JAMES B BONHAM EL,57905111,Elementary
DALLAS ISD,JAMES BOWIE EL,57905112,Elementary
DALLAS ISD,JAMES MADISON H S,57905032,Secondary
DALLAS ISD,JAMES S HOGG EL,57905157,Elementary
DALLAS ISD,JAMES W FANNIN EL,57905143,Elementary
DALLAS ISD,JEFFERSON DAVIS EL,57905133,Elementary
DALLAS ISD,JIMMIE T BRASHEAR PRI,57905258,Elementary
DALLAS ISD,JOHN B HOOD MIDDLE,57905052,Middle
DALLAS ISD,JOHN F PEELER EL,57905192,Elementary
DALLAS ISD,JOHN H REAGAN EL,57905197,Elementary
DALLAS ISD,JOHN HENRY BROWN EL,57905113,Elementary
DALLAS ISD,JOHN IRELAND EL,57905161,Elementary
DALLAS ISD,JOHN J PERSHING EL,57905193,Elementary
DALLAS ISD,JOHN NEELY BRYAN EL,57905114,Elementary
DALLAS ISD,JOHN W CARPENTER EL,57905121,Elementary
DALLAS ISD,JOHN W RUNYON EL,57905237,Elementary
DALLAS ISD,JOSE NAVARRO EL,57905248,Elementary
DALLAS ISD,JOSEPH J RHOADS EL,57905200,Elementary
DALLAS ISD,JOSEPH MCMILLAN PRI,57905255,Elementary
DALLAS ISD,JULIA C FRAZIER EL,57905146,Elementary
DALLAS ISD,JULIUS DORSEY EL,57905137,Elementary
DALLAS ISD,JUSTIN F KIMBALL H S,57905008,Secondary
DALLAS ISD,JUVENILE DETENT CTR,57905095,Both Elem/Sec
DALLAS ISD,K B POLK EL,57905194,Elementary
DALLAS ISD,KLEBERG EL,57905167,Elementary
DALLAS ISD,L G PINKSTON H S,57905012,Secondary
DALLAS ISD,L L HOTCHKISS EL,57905159,Elementary
DALLAS ISD,L O DONALD EL,57905136,Elementary
DALLAS ISD,L V STOCKARD MIDDLE,57905059,Middle
DALLAS ISD,LAKEWOOD EL,57905171,Elementary
DALLAS ISD,LANGUAGE ACAD,57905019,Secondary
DALLAS ISD,LEILA P COWART EL,57905130,Elementary
DALLAS ISD,LENORE KIRK HALL EL,57905149,Elementary
DALLAS ISD,LESLIE A STEMMONS EL,57905210,Elementary
DALLAS ISD,LIDA HOOE EL,57905158,Elementary
DALLAS ISD,LINCOLN H S,57905009,Secondary
DALLAS ISD,LISBON EL,57905178,Elementary
DALLAS ISD,LORENZO DE ZAVALA EL,57905260,Elementary
DALLAS ISD,LRN ALTER CTR EXPELLED YOUTH,57905257,Secondary
DALLAS ISD,M JACKSON EL,57905251,Elementary
DALLAS ISD,MAG CTR-PUB SERV:GOVT/LAW,57905038,Secondary
DALLAS ISD,MAPLE LAWN EL,57905181,Elementary
DALLAS ISD,MARGARET B HENDERSON EL,57905152,Elementary
DALLAS ISD,MARK TWAIN EL,57905220,Elementary
DALLAS ISD,MARTHA TURNER REILLY EL,57905198,Elementary
DALLAS ISD,MARTIN WEISS EL,57905226,Elementary
DALLAS ISD,METROPOLITAN ED CTR,57905027,Secondary
DALLAS ISD,MIDDLE COLLEGE,57905090,Secondary
DALLAS ISD,MOUNT AUBURN EL,57905188,Elementary
DALLAS ISD,N W HARLLEE EL,57905150,Elementary
DALLAS ISD,NANCY J COCHRAN EL,57905236,Elementary
DALLAS ISD,NANCY MOSELEY EL,57905187,Elementary
DALLAS ISD,NATHAN ADAMS EL,57905233,Elementary
DALLAS ISD,NATHANIEL HAWTHORNE EL,57905156,Elementary
DALLAS ISD,NORTH DALLAS H S,57905024,Secondary
DALLAS ISD,O W HOLMES MIDDLE,57905051,Middle
DALLAS ISD,OBADIAH KNIGHT EL,57905168,Elementary
DALLAS ISD,ORAN M ROBERTS EL,57905202,Elementary
DALLAS ISD,PAUL L DUNBAR EL,57905139,Elementary
DALLAS ISD,PEARL C ANDERSON MIDDLE,57905065,Middle
DALLAS ISD,PHYLLIS WHEATLEY EL,57905227,Elementary
DALLAS ISD,PRESTON HOLLOW EL,57905195,Elementary
DALLAS ISD,PRISCILLA L TYLER EL,57905221,Elementary
DALLAS ISD,QUINTEN D CORLEY,57905097,Secondary
DALLAS ISD,R C BUCKNER EL,57905246,Elementary
DALLAS ISD,REINHARDT EL,57905199,Elementary
DALLAS ISD,RICHARD LAGOW EL,57905170,Elementary
DALLAS ISD,ROBERT E LEE EL,57905174,Elementary
DALLAS ISD,ROBERT L THORNTON EL,57905215,Elementary
DALLAS ISD,ROBERT T HILL MIDDLE,57905050,Middle
DALLAS ISD,ROGER Q MILLS EL,57905186,Elementary
DALLAS ISD,RONALD E MCNAIR EL,57905264,Elementary
DALLAS ISD,ROOSEVELT H S,57905013,Secondary
DALLAS ISD,ROSEMONT EL,57905204,Elementary
DALLAS ISD,RUFUS C BURLESON EL,57905117,Elementary
DALLAS ISD,S S CONNER EL,57905129,Elementary
DALLAS ISD,SAM HOUSTON EL,57905160,Elementary
DALLAS ISD,SAN JACINTO EL,57905207,Elementary
DALLAS ISD,SARAH ZUMWALT MIDDLE,57905072,Secondary
DALLAS ISD,SCH COMM GUIDE CTR-ERVAY,57905029,Secondary
DALLAS ISD,SCIENCE/TECHNOLOGY MAGNET,57905026,Secondary
DALLAS ISD,SEAGOVILLE EL,57905208,Elementary
DALLAS ISD,SEAGOVILLE H S,57905015,Secondary
DALLAS ISD,SEAGOVILLE MIDDLE,57905069,Middle
DALLAS ISD,SEQUOYAH EL,57905262,Elementary
DALLAS ISD,SIDNEY LANIER EL,57905173,Elementary
DALLAS ISD,SKYLINE H S,57905025,Secondary
DALLAS ISD,SOUTH OAK CLIFF H S,57905016,Secondary
DALLAS ISD,STEPHEN C FOSTER EL,57905145,Elementary
DALLAS ISD,STEVENS PARK EL,57905211,Elementary
DALLAS ISD,STONEWALL JACKSON EL,57905162,Elementary
DALLAS ISD,SUDIE L WILLIAMS EL,57905228,Elementary
DALLAS ISD,SUNSET H S,57905018,Secondary
DALLAS ISD,T D MARSHALL EL,57905242,Elementary
DALLAS ISD,T G TERRY EL,57905213,Elementary
DALLAS ISD,T W BROWNE MIDDLE,57905043,Middle
DALLAS ISD,TAG MAGNET,57905039,Secondary
DALLAS ISD,THOMAS C MARSH MIDDLE,57905054,Middle
DALLAS ISD,THOMAS J RUSK MIDDLE,57905055,Middle
DALLAS ISD,THOMAS JEFFERSON H S,57905007,Secondary
DALLAS ISD,THOMAS L MARSALIS EL,57905183,Elementary
DALLAS ISD,TOM C GOOCH EL,57905148,Elementary
DALLAS ISD,TOM W FIELD EL,57905144,Elementary
DALLAS ISD,TOWNVIEW ED CTR,57905041,Secondary
DALLAS ISD,UMPHREY LEE EL,57905175,Elementary
DALLAS ISD,URBAN PARK EL,57905222,Elementary
DALLAS ISD,VICTOR H HEXTER EL,57905153,Elementary
DALLAS ISD,W A BLAIR EL,57905109,Elementary
DALLAS ISD,W E GREINER MIDDLE,57905049,Middle
DALLAS ISD,W H ADAMSON H S,57905002,Secondary
DALLAS ISD,W H ATWELL MIDDLE,57905042,Middle
DALLAS ISD,W H GASTON MIDDLE,57905048,Middle
DALLAS ISD,W T WHITE H S,57905021,Secondary
DALLAS ISD,W W BUSHMAN EL,57905118,Elementary
DALLAS ISD,W W SAMUELL H S,57905014,Secondary
DALLAS ISD,WALKER SP ED CTR,57905064,Both Elem/Sec
DALLAS ISD,WALNUT HILL EL,57905224,Elementary
DALLAS ISD,WHITNEY M YOUNG EL,57905250,Elementary
DALLAS ISD,WILLIAM B MILLER EL,57905185,Elementary
DALLAS ISD,WILLIAM B TRAVIS EL,57905217,Elementary
DALLAS ISD,WILLIAM L CABELL EL,57905119,Elementary
DALLAS ISD,WILLIAM LIPSCOMB EL,57905177,Elementary
DALLAS ISD,WILLIAM M ANDERSON EL,57905104,Elementary
DALLAS ISD,WINNETKA EL,57905229,Elementary
DALLAS ISD,WOODROW WILSON H S,57905022,Secondary
DAMON ISD,DAMON EL,20910101,Elementary
DANBURY ISD,DANBURY EL,20904101,Elementary
DANBURY ISD,DANBURY H S,20904001,Secondary
DANBURY ISD,DANBURY MIDDLE,20904041,Middle
DARROUZETT ISD,DARROUZETT EL,148905101,Elementary
DAWSON ISD,DAWSON EL,58902101,Elementary
DAWSON ISD,DAWSON EL,175904101,Elementary
DAWSON ISD,DAWSON H S,58902001,Both Elem/Sec
DAWSON ISD,DAWSON H S,175904001,Secondary
DAYTON ISD,AUSTIN EL,146902101,Elementary
DAYTON ISD,COLBERT EL,146902102,Middle
DAYTON ISD,DAYTON H S,146902002,Secondary
DAYTON ISD,RICHTER EL,146902103,Elementary
DAYTON ISD,WILSON J H,146902041,Middle
DE LEON ISD,ATLER LEARNING CTR,47902002,Secondary
DE LEON ISD,DE LEON EL,47902101,Elementary
DE LEON ISD,DE LEON H S,47902001,Secondary
DE LEON ISD,PERKINS MIDDLE,47902041,Middle
DE SOTO ISD,AMBER TERRACE INT,57906104,Middle
DE SOTO ISD,BELT LINE EL,57906105,Elementary
DE SOTO ISD,COCKRELL HILL EL,57906107,Elementary
DE SOTO ISD,DE SOTO EAST J H,57906041,Middle
DE SOTO ISD,DE SOTO H S,57906001,Secondary
DE SOTO ISD,DE SOTO WEST J H,57906042,Middle
DE SOTO ISD,FRANK D MOATES EL,57906108,Elementary
DE SOTO ISD,NORTHSIDE EL,57906103,Elementary
DE SOTO ISD,RUBY YOUNG EL,57906102,Elementary
DE SOTO ISD,THE MEADOWS INT,57906106,Middle
DECATUR ISD,DECATUR EL,249905101,Elementary
DECATUR ISD,DECATUR H S,249905001,Secondary
DECATUR ISD,DECATUR INT,249905102,Middle
DECATUR ISD,DECATUR MIDDLE,249905041,Middle
DEER PARK ISD,BONNETTE J H,101908043,Middle
DEER PARK ISD,CARPENTER EL,101908101,Elementary
DEER PARK ISD,DEEPWATER EL,101908102,Elementary
DEER PARK ISD,DEEPWATER J H,101908041,Middle
DEER PARK ISD,DEER PARK EL,101908105,Elementary
DEER PARK ISD,DEER PARK H S,101908001,Secondary
DEER PARK ISD,DEER PARK J H,101908042,Middle
DEER PARK ISD,FAIRMONT EL,101908108,Elementary
DEER PARK ISD,FAIRMONT J H,101908044,Middle
DEER PARK ISD,J P DABBS EL,101908107,Elementary
DEER PARK ISD,PARKWOOD EL,101908106,Elementary
DEER PARK ISD,SAN JACINTO EL,101908104,Elementary
DEER PARK ISD,WOLTERS LEARNING CTR,101908005,Secondary
DEKALB ISD,DEKALB EL,19901102,Elementary
DEKALB ISD,DEKALB H S,19901001,Secondary
DEKALB ISD,DEKALB MIDDLE,19901041,Middle
DEL VALLE ISD,BATY EL,227910108,Elementary
DEL VALLE ISD,DEL VALLE H S,227910001,Secondary
DEL VALLE ISD,DEL VALLE J H,227910041,Middle
DEL VALLE ISD,DEL VALLE OPPORTUNITY CTR,227910002,Secondary
DEL VALLE ISD,HILLCREST EL,227910107,Elementary
DEL VALLE ISD,HORNSBY-DUNLAP EL,227910109,Elementary
DEL VALLE ISD,POPHAM EL,227910101,Elementary
DEL VALLE ISD,SMITH EL,227910106,Elementary
DELL CITY ISD,DELL CITY SCHOOL,115903001,Both Elem/Sec
DENISON ISD,B MCDANIEL MIDDLE,91903041,Middle
DENISON ISD,DENISON H S,91903001,Secondary
DENISON ISD,GOLDEN RULE EL,91903102,Elementary
DENISON ISD,HOUSTON EL,91903103,Elementary
DENISON ISD,HYDE PARK EL,91903104,Elementary
DENISON ISD,LAMAR EL,91903113,Elementary
DENISON ISD,LAYNE EL,91903107,Elementary
DENISON ISD,MAYES EL,91903112,Elementary
DENISON ISD,TERRELL EL,91903114,Elementary
DENTON ISD,A O CALHOUN MIDDLE,61901045,Middle
DENTON ISD,BORMAN EL,61901111,Elementary
DENTON ISD,DENTON H S,61901003,Secondary
DENTON ISD,EVERS PARK EL,61901112,Elementary
DENTON ISD,FRED MOORE LEARN CTR,61901039,Secondary
DENTON ISD,GINNINGS EL,61901110,Elementary
DENTON ISD,HODGE EL,61901105,Elementary
DENTON ISD,HOUSTON EL,61901102,Elementary
DENTON ISD,JUVENILE DETENT CTR,61901040,Secondary
DENTON ISD,LEE EL,61901104,Elementary
DENTON ISD,MCNAIR EL,61901106,Elementary
DENTON ISD,RAYZOR EL,61901107,Elementary
DENTON ISD,RIVERA EL,61901108,Elementary
DENTON ISD,RYAN H S,61901002,Secondary
DENTON ISD,STRICKLAND MIDDLE,61901044,Middle
DENTON ISD,SULLIVAN-KELLER ECH CTR,61901103,Elementary
DENTON ISD,WILSON EL,61901109,Elementary
DENVER CITY ISD,DENVER CITY H S,251901001,Secondary
DENVER CITY ISD,DENVER CITY INT,251901102,Elementary
DENVER CITY ISD,DENVER CITY J H,251901041,Middle
DENVER CITY ISD,KELLEY EL,251901101,Elementary
DETROIT ISD,DETRIOT J H,194905041,Middle
DETROIT ISD,DETROIT EL,194905101,Elementary
DETROIT ISD,DETROIT JR-SR H S,194905001,Secondary
DEVERS ISD,BOYT PRE-K,146903102,Elementary
DEVERS ISD,DEVERS EL,146903101,Elementary
DEVINE ISD,DEVINE H S,163901001,Secondary
DEVINE ISD,DEVINE INT,163901102,Elementary
DEVINE ISD,DEVINE MIDDLE,163901041,Middle
DEVINE ISD,JOHN J CIAVARRA EL,163901101,Elementary
DEW ISD,DEW EL,81906101,Elementary
DEWEYVILLE ISD,DEWEYVILLE EL,176903101,Elementary
DEWEYVILLE ISD,DEWEYVILLE H S,176903001,Secondary
DEWEYVILLE ISD,DEWEYVILLE MIDDLE,176903041,Middle
DIBOLL ISD,DIBOLL H S,3905001,Secondary
DIBOLL ISD,DIBOLL J H,3905041,Middle
DIBOLL ISD,DIBOLL PRI,3905102,Elementary
DIBOLL ISD,TEMPLE EL,3905101,Elementary
DICKINSON ISD,DICKINSON H S,84901001,Secondary
DICKINSON ISD,DUNBAR MIDDLE,84901042,Middle
DICKINSON ISD,HUGHES ROAD EL,84901106,Elementary
DICKINSON ISD,JAKE SILBERNAGEL EL,84901105,Elementary
DICKINSON ISD,JOHN E BARBER EL,84901103,Elementary
DICKINSON ISD,KENNETH E LITTLE EL,84901101,Elementary
DICKINSON ISD,R D MCADAMS J H,84901041,Middle
DILLEY ISD,ALTER CTR,82902002,Secondary
DILLEY ISD,DILLEY EL,82902101,Elementary
DILLEY ISD,DILLEY H S,82902001,Secondary
DILLEY ISD,MARY HARPER MIDDLE,82902041,Middle
DIME BOX ISD,DIME BOX SCHOOL,144903001,Both Elem/Sec
DIMMITT ISD,DIMMITT H S,35901001,Secondary
DIMMITT ISD,DIMMITT MIDDLE,35901041,Middle
DIMMITT ISD,RICHARDSON EL,35901102,Elementary
DIVIDE ISD,DIVIDE EL,133905101,Elementary
DODD CITY ISD,DODD CITY SCHOOL,74904001,Both Elem/Sec
DONNA ISD,A P SOLIS MIDDLE,108902045,Middle
DONNA ISD,ANTONIO M OCHOA EL,108902104,Elementary
DONNA ISD,DANIEL SALINAS II EL,108902112,Elementary
DONNA ISD,DONNA H S,108902001,Secondary
DONNA ISD,GUZMAN EL,108902102,Elementary
DONNA ISD,JUAN W CACERES EL,108902109,Elementary
DONNA ISD,LENOIR EL,108902107,Elementary
DONNA ISD,MAGIN RIVAS EL,108902111,Elementary
DONNA ISD,MOYE EL,108902108,Elementary
DONNA ISD,RUNN EL,108902105,Elementary
DONNA ISD,STAINKE EL,108902106,Elementary
DONNA ISD,W A TODD MIDDLE,108902044,Middle
DOSS CONS CSD,DOSS EL,86024101,Elementary
DOUGLASS ISD,DOUGLASS SCHOOL,174911001,Both Elem/Sec
DRIPPING SPRINGS ISD,DRIPPING SPRINGS H S,105904001,Secondary
DRIPPING SPRINGS ISD,DRIPPING SPRINGS INT,105904102,Elementary
DRIPPING SPRINGS ISD,DRIPPING SPRINGS MIDDLE,105904041,Middle
DRIPPING SPRINGS ISD,DRIPPING SPRINGS PRI,105904101,Elementary
DRISCOLL ISD,DRISCOLL EL,178905101,Elementary
DUBLIN ISD,DUBLIN EL,72902101,Elementary
DUBLIN ISD,DUBLIN H S,72902001,Secondary
DUBLIN ISD,DUBLIN J H,72902041,Middle
DUBLIN ISD,PARIDAGM P A C,72902002,Both Elem/Sec
DUMAS ISD,C H A M P S,171901002,Secondary
DUMAS ISD,CACTUS EL,171901101,Elementary
DUMAS ISD,DUMAS H S,171901001,Secondary
DUMAS ISD,DUMAS J H,171901041,Middle
DUMAS ISD,GREEN ACRES EL,171901105,Elementary
DUMAS ISD,HILLCREST EL,171901103,Elementary
DUMAS ISD,MORNINGSIDE EL,171901102,Elementary
DUMAS ISD,SUNSET EL,171901104,Elementary
DUNCANVILLE ISD,ACTON EL,57907107,Elementary
DUNCANVILLE ISD,ALEXANDER EL,57907105,Elementary
DUNCANVILLE ISD,BRANDENBURG INT,57907110,Elementary
DUNCANVILLE ISD,CENTRAL EL,57907101,Elementary
DUNCANVILLE ISD,DANIEL INT,57907108,Middle
DUNCANVILLE ISD,DUNCANVILLE H S,57907001,Secondary
DUNCANVILLE ISD,DUNCANVILLE 9TH GR SCH,57907003,Secondary
DUNCANVILLE ISD,FAIRMEADOWS EL,57907102,Elementary
DUNCANVILLE ISD,HARDIN INT,57907109,Middle
DUNCANVILLE ISD,HASTINGS EL,57907104,Elementary
DUNCANVILLE ISD,MERRIFIELD EL,57907103,Elementary
DUNCANVILLE ISD,P A C E,57907004,Secondary
DUNCANVILLE ISD,REED J H,57907041,Middle
DUNCANVILLE ISD,SMITH EL,57907106,Elementary
DUNCANVILLE ISD,W H BYRD J H,57907042,Middle
EAGLE MT-SAGINAW ISD,BOSWELL H S,220918001,Secondary
EAGLE MT-SAGINAW ISD,BRYSON EL,220918104,Elementary
EAGLE MT-SAGINAW ISD,EAGLE MOUNTAIN EL,220918102,Elementary
EAGLE MT-SAGINAW ISD,ELKINS EL,220918105,Elementary
EAGLE MT-SAGINAW ISD,L A GILILLAND EL,220918101,Elementary
EAGLE MT-SAGINAW ISD,O A S I S LRN CTR,220918002,Secondary
EAGLE MT-SAGINAW ISD,SAGINAW EL,220918103,Elementary
EAGLE MT-SAGINAW ISD,WAYSIDE MIDDLE,220918041,Middle
EAGLE PASS ISD,ALTER SCH,159901002,Secondary
EAGLE PASS ISD,AUSTIN EL,159901101,Elementary
EAGLE PASS ISD,BENAVIDES EL,159901111,Elementary
EAGLE PASS ISD,DE LUNA ED CTR,159901003,Secondary
EAGLE PASS ISD,EAGLE PASS H S,159901001,Secondary
EAGLE PASS ISD,EAGLE PASS J H,159901041,Middle
EAGLE PASS ISD,EARLY CHILDHOOD CTR,159901112,Elementary
EAGLE PASS ISD,GLASS EL,159901105,Elementary
EAGLE PASS ISD,GRAVES EL,159901104,Elementary
EAGLE PASS ISD,KIRCHNER EL,159901107,Elementary
EAGLE PASS ISD,LANGUAGE DEVEL CTR,159901103,Elementary
EAGLE PASS ISD,LEE EL,159901106,Elementary
EAGLE PASS ISD,MEMORIAL J H,159901042,Middle
EAGLE PASS ISD,RAY DARR EL,159901102,Elementary
EAGLE PASS ISD,ROSITA VALLEY EL,159901110,Elementary
EAGLE PASS ISD,SAN LUIS EL,159901109,Elementary
EAGLE PASS ISD,SECO MINES EL,159901113,Elementary
EANES ISD,BARTON CREEK EL,227909105,Elementary
EANES ISD,CEDAR CREEK EL,227909102,Elementary
EANES ISD,EANES EL,227909101,Elementary
EANES ISD,FOREST TRAIL EL,227909104,Elementary
EANES ISD,HILL COUNTRY MIDDLE,227909041,Middle
EANES ISD,VALLEY VIEW EL,227909103,Elementary
EANES ISD,WEST RIDGE MIDDLE,227909042,Middle
EANES ISD,WESTLAKE H S,227909001,Secondary
EARLY ISD,EARLY EL,25909101,Elementary
EARLY ISD,EARLY H S,25909001,Secondary
EARLY ISD,EARLY MIDDLE,25909041,Middle
EARLY ISD,EARLY PRI,25909102,Elementary
EAST BERNARD ISD,EAST BERNARD EL,241902101,Elementary
EAST BERNARD ISD,EAST BERNARD H S,241902001,Secondary
EAST BERNARD ISD,EAST BERNARD J H,241902041,Middle
EAST CENTRAL ISD,EAST CENTRAL DEV CTR,15911105,Elementary
EAST CENTRAL ISD,EAST CENTRAL H S,15911001,Secondary
EAST CENTRAL ISD,HARMONY EL,15911102,Elementary
EAST CENTRAL ISD,JOHN GLENN EL,15911101,Elementary
EAST CENTRAL ISD,OAK CREST MIDDLE,15911041,Middle
EAST CENTRAL ISD,PECAN VALLEY EL,15911103,Elementary
EAST CENTRAL ISD,SALADO MIDDLE,15911042,Middle
EAST CENTRAL ISD,SINCLAIR EL,15911104,Elementary
EAST CHAMBERS ISD,EAST CHAMBERS EL,36903101,Elementary
EAST CHAMBERS ISD,EAST CHAMBERS H S,36903001,Secondary
EAST CHAMBERS ISD,EAST CHAMBERS J H,36903041,Middle
EASTLAND ISD,EASTLAND H S,67903001,Secondary
EASTLAND ISD,EASTLAND MIDDLE,67903041,Middle
EASTLAND ISD,SIEBERT EL,67903101,Elementary
ECTOR COUNTY ISD,A I M,68901006,Secondary
ECTOR COUNTY ISD,ALTER ED CTR,68901004,Secondary
ECTOR COUNTY ISD,AUSTIN EL,68901102,Elementary
ECTOR COUNTY ISD,BARBARA JORDAN EL,68901129,Elementary
ECTOR COUNTY ISD,BLANTON EL,68901125,Elementary
ECTOR COUNTY ISD,BONHAM J H,68901042,Middle
ECTOR COUNTY ISD,BOWIE J H,68901043,Middle
ECTOR COUNTY ISD,BURLESON EL,68901103,Elementary
ECTOR COUNTY ISD,BURNET EL,68901104,Elementary
ECTOR COUNTY ISD,CAMERON EL,68901105,Elementary
ECTOR COUNTY ISD,CAREER CTR,68901008,Secondary
ECTOR COUNTY ISD,CARVER EARLY ED CTR,68901106,Elementary
ECTOR COUNTY ISD,CROCKETT J H,68901044,Middle
ECTOR COUNTY ISD,DOWLING EL,68901107,Elementary
ECTOR COUNTY ISD,ECTOR CO YOUTH CTR,68901005,Secondary
ECTOR COUNTY ISD,ECTOR J H,68901047,Middle
ECTOR COUNTY ISD,EL MAGNET AT BLACKSHEAR,68901127,Elementary
ECTOR COUNTY ISD,EL MAGNET AT HAYS,68901112,Elementary
ECTOR COUNTY ISD,EL MAGNET AT IRELAND,68901114,Elementary
ECTOR COUNTY ISD,EL MAGNET AT MILAM EL,68901116,Elementary
ECTOR COUNTY ISD,EL MAGNET AT NOEL EL,68901124,Elementary
ECTOR COUNTY ISD,EL MAGNET AT REAGAN EL,68901118,Elementary
ECTOR COUNTY ISD,EL MAGNET AT TRAVIS,68901122,Elementary
ECTOR COUNTY ISD,EL MAGNET AT ZAVALA,68901123,Elementary
ECTOR COUNTY ISD,FANNIN EARLY ED CTR,68901108,Elementary
ECTOR COUNTY ISD,GALE POND ALAMO EL,68901101,Elementary
ECTOR COUNTY ISD,GOLDSMITH EL,68901109,Elementary
ECTOR COUNTY ISD,GOLIAD EL,68901110,Elementary
ECTOR COUNTY ISD,GONZALES EL,68901111,Elementary
ECTOR COUNTY ISD,HOOD J H,68901045,Secondary
ECTOR COUNTY ISD,L B JOHNSON EL,68901128,Elementary
ECTOR COUNTY ISD,LAMAR EARLY ED CTR,68901115,Elementary
ECTOR COUNTY ISD,LAURO CAVAZOS EL,68901130,Elementary
ECTOR COUNTY ISD,MURRY FLY EL,68901126,Elementary
ECTOR COUNTY ISD,NIMITZ J H,68901046,Middle
ECTOR COUNTY ISD,ODESSA H S,68901002,Secondary
ECTOR COUNTY ISD,OHS/SCH-WITHIN-A-SCH,68901012,Secondary
ECTOR COUNTY ISD,PEASE EL,68901117,Elementary
ECTOR COUNTY ISD,PERMIAN H S,68901003,Secondary
ECTOR COUNTY ISD,PHS/SCH-WITHIN-A-SCH,68901013,Secondary
ECTOR COUNTY ISD,ROSS EL,68901119,Elementary
ECTOR COUNTY ISD,SAM HOUSTON EL,68901113,Elementary
ECTOR COUNTY ISD,SAN JACINTO EL,68901121,Elementary
ECTOR COUNTY ISD,TEEN PARENT CTR,68901007,Secondary
ECTOR ISD,ECTOR SCHOOL,74905001,Both Elem/Sec
EDCOUCH-ELSA ISD,CENTRAL MIDDLE,108903104,Middle
EDCOUCH-ELSA ISD,EDCOUCH EL,108903102,Elementary
EDCOUCH-ELSA ISD,EDCOUCH-ELSA H S,108903001,Secondary
EDCOUCH-ELSA ISD,EDCOUCH-ELSA J H,108903041,Middle
EDCOUCH-ELSA ISD,KENNEDY EL,108903103,Elementary
EDCOUCH-ELSA ISD,L B J EL,108903105,Elementary
EDEN CONS ISD,C B P,48901195,Secondary
EDEN CONS ISD,EDEN EL,48901101,Elementary
EDEN CONS ISD,EDEN H S,48901001,Secondary
EDEN CONS ISD,MILES VOC TRAINING (MVT),48901150,Secondary
EDEN CONS ISD,SAN ANGELO SPECIAL PROGS,48901199,Elementary
EDEN CONS ISD,TRINITY EARLY CHILDHOOD,48901200,Elementary
EDEN CONS ISD,WATER VALLEY VOC TRAIN,48901201,Secondary
EDGEWOOD ISD,ACCELERATED LRN SCH,15905047,Middle
EDGEWOOD ISD,ALONSO S PERALES EL,15905106,Elementary
EDGEWOOD ISD,ALTER CTR,15905042,Both Elem/Sec
EDGEWOOD ISD,BRENTWOOD MIDDLE,15905041,Middle
EDGEWOOD ISD,BURLESON EL,15905102,Elementary
EDGEWOOD ISD,CARDENAS CTR,15905118,Elementary
EDGEWOOD ISD,CENIZO PARK EL,15905104,Elementary
EDGEWOOD ISD,COMPETENCY BASED H S,15905006,Secondary
