DISTRICT,DISTNAME
"161919","BRUCEVILLE-EDDY ISD"
"161920","CHINA SPRING ISD"
"161921","CONNALLY ISD"
"161922","ROBINSON ISD"
"161923","BOSQUEVILLE ISD"
"161924","HALLSBURG ISD"
"161925","GHOLSON ISD"
"162904","MCMULLEN COUNTY ISD"
"163901","DEVINE ISD"
"163902","D'HANIS ISD"
"163903","NATALIA ISD"
"163904","HONDO ISD"
"163908","MEDINA VALLEY ISD"
"164901","MENARD ISD"
"165802","MIDLAND ACADEMY CHARTER SCHOOL"
"165901","MIDLAND ISD"
"165902","GREENWOOD ISD"
"166901","CAMERON ISD"
"166902","GAUSE ISD"
"166903","MILANO ISD"
"166904","ROCKDALE ISD"
"166905","THORNDALE ISD"
"166907","BUCKHOLTS ISD"
"167901","GOLDTHWAITE ISD"
"167902","MULLIN ISD"
"167904","PRIDDY ISD"
"168901","COLORADO ISD"
"168902","LORAINE ISD"
"168903","WESTBROOK ISD"
"169901","BOWIE ISD"
"169902","NOCONA ISD"
"169906","GOLD BURG ISD"
"169908","MONTAGUE ISD"
"169909","PRAIRIE VALLEY ISD"
"169910","FORESTBURG ISD"
"169911","SAINT JO ISD"
"170801","TEXAS SERENITY ACADEMY"
"170902","CONROE ISD"
"170903","MONTGOMERY ISD"
"170904","WILLIS ISD"
"170906","MAGNOLIA ISD"
"170907","SPLENDORA ISD"
"170908","NEW CANEY ISD"
"171901","DUMAS ISD"
"171902","SUNRAY ISD"
"172902","DAINGERFIELD-LONE STAR ISD"
"172905","PEWITT CISD"
"173901","MOTLEY COUNTY ISD"
"174801","STEPHEN F AUSTIN STATE UNIVERSITY"
"174901","CHIRENO ISD"
"174902","CUSHING ISD"
"174903","GARRISON ISD"
"174904","NACOGDOCHES ISD"
"174906","WODEN ISD"
"174908","CENTRAL HEIGHTS ISD"
"174909","MARTINSVILLE ISD"
"174910","ETOILE ISD"
"174911","DOUGLASS ISD"
"175902","BLOOMING GROVE ISD"
"175903","CORSICANA ISD"
"175904","DAWSON ISD"
"175905","FROST ISD"
"175907","KERENS ISD"
"175910","MILDRED ISD"
"175911","RICE ISD"
"176901","BURKEVILLE ISD"
"176902","NEWTON ISD"
"176903","DEWEYVILLE ISD"
"177901","ROSCOE COLLEGIATE ISD"
"177902","SWEETWATER ISD"
"177903","BLACKWELL CISD"
"177905","HIGHLAND ISD"
"178801","DR M L GARZA-GONZALEZ CHARTER SCHO"
"178807","CORPUS CHRISTI MONTESSORI SCHOOL"
"178808","SEASHORE CHARTER SCHOOLS"
"178901","AGUA DULCE ISD"
"178902","BISHOP CISD"
"178903","CALALLEN ISD"
"178904","CORPUS CHRISTI ISD"
"178905","DRISCOLL ISD"
"178906","LONDON ISD"
"178908","PORT ARANSAS ISD"
"178909","ROBSTOWN ISD"
"178912","TULOSO-MIDWAY ISD"
"178913","BANQUETE ISD"
"178914","FLOUR BLUFF ISD"
"178915","WEST OSO ISD"
"179901","PERRYTON ISD"
"180901","BOYS RANCH ISD"
"180902","VEGA ISD"
"180903","ADRIAN ISD"
"180904","WILDORADO ISD"
"181901","BRIDGE CITY ISD"
"181905","ORANGEFIELD ISD"
"181906","WEST ORANGE-COVE CISD"
"181907","VIDOR ISD"
"181908","LITTLE CYPRESS-MAURICEVILLE CISD"
"182901","GORDON ISD"
"182902","GRAFORD ISD"
"182903","MINERAL WELLS ISD"
"182904","SANTO ISD"
"182905","STRAWN ISD"
"182906","PALO PINTO ISD"
"183801","PANOLA CHARTER SCHOOL"
"183901","BECKVILLE ISD"
"183902","CARTHAGE ISD"
"183904","GARY ISD"
"184801","CROSSTIMBERS ACADEMY"
"184901","POOLVILLE ISD"
"184902","SPRINGTOWN ISD"
"184903","WEATHERFORD ISD"
"184904","MILLSAP ISD"
"184907","ALEDO ISD"
"184908","PEASTER ISD"
"184909","BROCK ISD"
"184911","GARNER ISD"
"185901","BOVINA ISD"
"185902","FARWELL ISD"
"185903","FRIONA ISD"
"185904","LAZBUDDIE ISD"
"186901","BUENA VISTA ISD"
"186902","FORT STOCKTON ISD"
"186903","IRAAN-SHEFFIELD ISD"
"187901","BIG SANDY ISD"
"187903","GOODRICH ISD"
"187904","CORRIGAN-CAMDEN ISD"
"187906","LEGGETT ISD"
"187907","LIVINGSTON ISD"
"187910","ONALASKA ISD"
"188901","AMARILLO ISD"
"188902","RIVER ROAD ISD"
"188903","HIGHLAND PARK ISD"
"188904","BUSHLAND ISD"
"189901","MARFA ISD"
"189902","PRESIDIO ISD"
"190903","RAINS ISD"
"191901","CANYON ISD"
"192901","REAGAN COUNTY ISD"
"193801","BIG SPRINGS CHARTER SCHOOL"
"193902","LEAKEY ISD"
"194902","AVERY ISD"
"194903","RIVERCREST ISD"
"194904","CLARKSVILLE ISD"
"194905","DETROIT ISD"
"195901","PECOS-BARSTOW-TOYAH ISD"
"195902","BALMORHEA ISD"
"196901","AUSTWELL-TIVOLI ISD"
"196902","WOODSBORO ISD"
"196903","REFUGIO ISD"
"197902","MIAMI ISD"
"198901","BREMOND ISD"
"198902","CALVERT ISD"
"198903","FRANKLIN ISD"
"198905","HEARNE ISD"
"198906","MUMFORD ISD"
"199901","ROCKWALL ISD"
"199902","ROYSE CITY ISD"
"200901","BALLINGER ISD"
"200902","MILES ISD"
"200904","WINTERS ISD"
"200906","OLFEN ISD"
"201902","HENDERSON ISD"
"201903","LANEVILLE ISD"
"201904","LEVERETTS CHAPEL ISD"
"201907","MOUNT ENTERPRISE ISD"
"201908","OVERTON ISD"
"201910","TATUM ISD"
"201913","CARLISLE ISD"
"201914","WEST RUSK COUNTY CONSOLIDATED ISD"
"202903","HEMPHILL ISD"
"202905","WEST SABINE ISD"
"203901","SAN AUGUSTINE ISD"
"203902","BROADDUS ISD"
"204901","COLDSPRING-OAKHURST CISD"
"204904","SHEPHERD ISD"
"205901","ARANSAS PASS ISD"
"205902","GREGORY-PORTLAND ISD"
"205903","INGLESIDE ISD"
"205904","MATHIS ISD"
"205905","ODEM-EDROY ISD"
"205906","SINTON ISD"
"205907","TAFT ISD"
"206901","SAN SABA ISD"
"206902","RICHLAND SPRINGS ISD"
"206903","CHEROKEE ISD"
"207901","SCHLEICHER ISD"
"208901","HERMLEIGH ISD"
"208902","SNYDER ISD"
"208903","IRA ISD"
"209901","ALBANY ISD"
"209902","MORAN ISD"
"210901","CENTER ISD"
"210902","JOAQUIN ISD"
"210903","SHELBYVILLE ISD"
"210904","TENAHA ISD"
"210905","TIMPSON ISD"
"210906","EXCELSIOR ISD"
"211901","TEXHOMA ISD"
"211902","STRATFORD ISD"
"212801","CUMBERLAND ACADEMY"
"212804","UT TYLER INNOVATION ACADEMY"
"212901","ARP ISD"
"212902","BULLARD ISD"
"212903","LINDALE ISD"
"212904","TROUP ISD"
"212905","TYLER ISD"
"212906","WHITEHOUSE ISD"
"212909","CHAPEL HILL ISD"
"212910","WINONA ISD"
"213801","BRAZOS RIVER CHARTER SCHOOL"
"213901","GLEN ROSE ISD"
"214901","RIO GRANDE CITY CISD"
"214902","SAN ISIDRO ISD"
"214903","ROMA ISD"
"215901","BRECKENRIDGE ISD"
"216901","STERLING CITY ISD"
"217901","ASPERMONT ISD"
"218901","SONORA ISD"
"219901","HAPPY ISD"
"219903","TULIA ISD"
"219905","KRESS ISD"
"220801","TREETOPS SCHOOL INTERNATIONAL"
"220802","ARLINGTON CLASSICS ACADEMY"
"220809","FORT WORTH ACADEMY OF FINE ARTS"
"220810","WESTLAKE ACADEMY CHARTER SCHOOL"
"220811","EAST FORT WORTH MONTESSORI ACADEMY"
"220814","TEXAS SCHOOL OF THE ARTS"
"220815","CHAPEL HILL ACADEMY"
"220817","NEWMAN INTERNATIONAL ACADEMY OF AR"
"220819","HIGH POINT ACADEMY"
"220901","ARLINGTON ISD"
"220902","BIRDVILLE ISD"
"220904","EVERMAN ISD"
"220905","FORT WORTH ISD"
"220906","GRAPEVINE-COLLEYVILLE ISD"
"220907","KELLER ISD"
"220908","MANSFIELD ISD"
"220910","LAKE WORTH ISD"
"220912","CROWLEY ISD"
"220914","KENNEDALE ISD"
"220915","AZLE ISD"
"220916","HURST-EULESS-BEDFORD ISD"
"220917","CASTLEBERRY ISD"
"220918","EAGLE MT-SAGINAW ISD"
"220919","CARROLL ISD"
"220920","WHITE SETTLEMENT ISD"
"221801","TEXAS COLLEGE PREPARATORY ACADEMIE"
"221901","ABILENE ISD"
"221904","MERKEL ISD"
"221905","TRENT ISD"
"221911","JIM NED CISD"
"221912","WYLIE ISD"
"222901","TERRELL COUNTY ISD"
"223901","BROWNFIELD ISD"
"223902","MEADOW ISD"
"223904","WELLMAN-UNION CISD"
"224901","THROCKMORTON ISD"
"224902","WOODSON ISD"
"225902","MOUNT PLEASANT ISD"
"225905","WINFIELD ISD"
"225906","CHAPEL HILL ISD"
"225907","HARTS BLUFF ISD"
"226801","TEXAS LEADERSHIP"
"226901","CHRISTOVAL ISD"
"226903","SAN ANGELO ISD"
"226905","WATER VALLEY ISD"
"226906","WALL ISD"
"226907","GRAPE CREEK ISD"
"226908","VERIBEST ISD"
"227803","WAYSIDE SCHOOLS"
"227804","NYOS CHARTER SCHOOL"
"227805","TEXAS EMPOWERMENT ACADEMY"
"227806","UNIVERSITY OF TEXAS UNIVERSITY CHA"
"227814","CHAPARRAL STAR ACADEMY"
"227816","HARMONY SCIENCE ACADEMY (AUSTIN)"
"227817","CEDARS INTERNATIONAL ACADEMY"
"227819","UNIVERSITY OF TEXAS ELEMENTARY CHA"
"227820","KIPP AUSTIN PUBLIC SCHOOLS INC"
"227821","AUSTIN DISCOVERY SCHOOL"
"227824","EAST AUSTIN COLLEGE PREP"
"227825","AUSTIN ACHIEVE PUBLIC SCHOOLS"
"227826","MONTESSORI FOR ALL"
"227827","THE EXCEL CENTER (FOR ADULTS)"
"227828","THE EXCEL CENTER"
"227901","AUSTIN ISD"
"227904","PFLUGERVILLE ISD"
"227907","MANOR ISD"
"227909","EANES ISD"
"227910","DEL VALLE ISD"
"227912","LAGO VISTA ISD"
"227913","LAKE TRAVIS ISD"
"228901","GROVETON ISD"
"228903","TRINITY ISD"
"228904","CENTERVILLE ISD"
"228905","APPLE SPRINGS ISD"
"229901","COLMESNEIL ISD"
"229903","WOODVILLE ISD"
"229904","WARREN ISD"
"229905","SPURGER ISD"
"229906","CHESTER ISD"
"230901","BIG SANDY ISD"
"230902","GILMER ISD"
"230903","ORE CITY ISD"
"230904","UNION HILL ISD"
"230905","HARMONY ISD"
"230906","NEW DIANA ISD"
"230908","UNION GROVE ISD"
"231901","MCCAMEY ISD"
"231902","RANKIN ISD"
"232901","KNIPPA ISD"
"232902","SABINAL ISD"
"232903","UVALDE CISD"
"232904","UTOPIA ISD"
"233901","SAN FELIPE-DEL RIO CISD"
"233903","COMSTOCK ISD"
"234801","RANCH ACADEMY"
"234902","CANTON ISD"
"234903","EDGEWOOD ISD"
"234904","GRAND SALINE ISD"
"234905","MARTINS MILL ISD"
"234906","VAN ISD"
"234907","WILLS POINT ISD"
"234909","FRUITVALE ISD"
"235901","BLOOMINGTON ISD"
"235902","VICTORIA ISD"
"235904","NURSERY ISD"
"236801","RAVEN SCHOOL"
"236901","NEW WAVERLY ISD"
"236902","HUNTSVILLE ISD"
"237902","HEMPSTEAD ISD"
"237904","WALLER ISD"
"237905","ROYAL ISD"
"238902","MONAHANS-WICKETT-PYOTE ISD"
"238904","GRANDFALLS-ROYALTY ISD"
"239901","BRENHAM ISD"
"239903","BURTON ISD"
"240801","GATEWAY ACADEMY CHARTER DISTRICT"
"240901","LAREDO ISD"
"240903","UNITED ISD"
"240904","WEBB CISD"
"241901","BOLING ISD"
"241902","EAST BERNARD ISD"
"241903","EL CAMPO ISD"
"241904","WHARTON ISD"
"241906","LOUISE ISD"
"242902","SHAMROCK ISD"
"242903","WHEELER ISD"
"242905","KELTON ISD"
"242906","FORT ELLIOTT CISD"
"243901","BURKBURNETT ISD"
"243902","ELECTRA ISD"
"243903","IOWA PARK CISD"
"243905","WICHITA FALLS ISD"
"243906","CITY VIEW ISD"
"244901","HARROLD ISD"
"244903","VERNON ISD"
"244905","NORTHSIDE ISD"
"245901","LASARA ISD"
"245902","LYFORD CISD"
"245903","RAYMONDVILLE ISD"
"245904","SAN PERLITA ISD"
"246801","MERIDIAN WORLD SCHOOL LLC"
"246902","FLORENCE ISD"
"246904","GEORGETOWN ISD"
"246905","GRANGER ISD"
"246906","HUTTO ISD"
"246907","JARRELL ISD"
"246908","LIBERTY HILL ISD"
"246909","ROUND ROCK ISD"
"246911","TAYLOR ISD"
"246912","THRALL ISD"
"246913","LEANDER ISD"
"246914","COUPLAND ISD"
"247901","FLORESVILLE ISD"
"247903","LA VERNIA ISD"
"247904","POTH ISD"
"247906","STOCKDALE ISD"
"248901","KERMIT ISD"
"248902","WINK-LOVING ISD"
"249901","ALVORD ISD"
"249902","BOYD ISD"
"249903","BRIDGEPORT ISD"
"249904","CHICO ISD"
"249905","DECATUR ISD"
"249906","PARADISE ISD"
"249908","SLIDELL ISD"
"250902","HAWKINS ISD"
"250903","MINEOLA ISD"
"250904","QUITMAN ISD"
"250905","YANTIS ISD"
"250906","ALBA-GOLDEN ISD"
"250907","WINNSBORO ISD"
"251901","DENVER CITY ISD"
"251902","PLAINS ISD"
"252901","GRAHAM ISD"
"252902","NEWCASTLE ISD"
"252903","OLNEY ISD"
"253901","ZAPATA COUNTY ISD"
"254901","CRYSTAL CITY ISD"
"254902","LA PRYOR ISD"
